Please Enter Unimodal Function Number: 5
Iteration 1: Best Cost = 600.0528
Iteration 2: Best Cost = 600.0528
Iteration 3: Best Cost = 600.0528
Iteration 4: Best Cost = 600.0528
Iteration 5: Best Cost = 600.0528
Iteration 6: Best Cost = 600.0528
Iteration 7: Best Cost = 269.0831
Iteration 8: Best Cost = 269.0831
Iteration 9: Best Cost = 76.4408
Iteration 10: Best Cost = 76.4408
Iteration 11: Best Cost = 76.4408
Iteration 12: Best Cost = 70.7096
Iteration 13: Best Cost = 56.1908
Iteration 14: Best Cost = 42.1326
Iteration 15: Best Cost = 42.1326
Iteration 16: Best Cost = 40.7337
Iteration 17: Best Cost = 40.7337
Iteration 18: Best Cost = 25.7999
Iteration 19: Best Cost = 24.6414
Iteration 20: Best Cost = 24.6414
Iteration 21: Best Cost = 11.8687
Iteration 22: Best Cost = 9.8841
Iteration 23: Best Cost = 9.8841
Iteration 24: Best Cost = 8.0188
Iteration 25: Best Cost = 7.5443
Iteration 26: Best Cost = 7.2276
Iteration 27: Best Cost = 6.8659
Iteration 28: Best Cost = 5.8767
Iteration 29: Best Cost = 5.8767
Iteration 30: Best Cost = 4.2853
Iteration 31: Best Cost = 4.2853
Iteration 32: Best Cost = 3.2762
Iteration 33: Best Cost = 3.2762
Iteration 34: Best Cost = 2.3966
Iteration 35: Best Cost = 2.3966
Iteration 36: Best Cost = 2.3966
Iteration 37: Best Cost = 2.3966
Iteration 38: Best Cost = 2.3966
Iteration 39: Best Cost = 2.2647
Iteration 40: Best Cost = 2.2647
Iteration 41: Best Cost = 2.2647
Iteration 42: Best Cost = 1.7765
Iteration 43: Best Cost = 1.7765
Iteration 44: Best Cost = 1.4841
Iteration 45: Best Cost = 1.2882
Iteration 46: Best Cost = 1.0817
Iteration 47: Best Cost = 1.0817
Iteration 48: Best Cost = 0.86092
Iteration 49: Best Cost = 0.81907
Iteration 50: Best Cost = 0.65412
Iteration 51: Best Cost = 0.49329
Iteration 52: Best Cost = 0.49058
Iteration 53: Best Cost = 0.43584
Iteration 54: Best Cost = 0.29772
Iteration 55: Best Cost = 0.29772
Iteration 56: Best Cost = 0.29772
Iteration 57: Best Cost = 0.29771
Iteration 58: Best Cost = 0.25635
Iteration 59: Best Cost = 0.24208
Iteration 60: Best Cost = 0.21485
Iteration 61: Best Cost = 0.14672
Iteration 62: Best Cost = 0.14672
Iteration 63: Best Cost = 0.14672
Iteration 64: Best Cost = 0.10548
Iteration 65: Best Cost = 0.10548
Iteration 66: Best Cost = 0.10548
Iteration 67: Best Cost = 0.10531
Iteration 68: Best Cost = 0.076056
Iteration 69: Best Cost = 0.076056
Iteration 70: Best Cost = 0.067849
Iteration 71: Best Cost = 0.056985
Iteration 72: Best Cost = 0.056985
Iteration 73: Best Cost = 0.039654
Iteration 74: Best Cost = 0.036995
Iteration 75: Best Cost = 0.036995
Iteration 76: Best Cost = 0.036995
Iteration 77: Best Cost = 0.036995
Iteration 78: Best Cost = 0.024636
Iteration 79: Best Cost = 0.024636
Iteration 80: Best Cost = 0.024636
Iteration 81: Best Cost = 0.018038
Iteration 82: Best Cost = 0.016316
Iteration 83: Best Cost = 0.0095691
Iteration 84: Best Cost = 0.0095691
Iteration 85: Best Cost = 0.0084668
Iteration 86: Best Cost = 0.0084668
Iteration 87: Best Cost = 0.0084668
Iteration 88: Best Cost = 0.0082176
Iteration 89: Best Cost = 0.005834
Iteration 90: Best Cost = 0.005834
Iteration 91: Best Cost = 0.005834
Iteration 92: Best Cost = 0.005834
Iteration 93: Best Cost = 0.0052202
Iteration 94: Best Cost = 0.0052202
Iteration 95: Best Cost = 0.0034817
Iteration 96: Best Cost = 0.0034321
Iteration 97: Best Cost = 0.0026018
Iteration 98: Best Cost = 0.0026018
Iteration 99: Best Cost = 0.0015925
Iteration 100: Best Cost = 0.0015925
Iteration 101: Best Cost = 0.0014914
Iteration 102: Best Cost = 0.0010907
Iteration 103: Best Cost = 0.0010907
Iteration 104: Best Cost = 0.0010513
Iteration 105: Best Cost = 0.0010513
Iteration 106: Best Cost = 0.00082769
Iteration 107: Best Cost = 0.00082769
Iteration 108: Best Cost = 0.00082569
Iteration 109: Best Cost = 0.00080208
Iteration 110: Best Cost = 0.00073428
Iteration 111: Best Cost = 0.00045831
Iteration 112: Best Cost = 0.00045831
Iteration 113: Best Cost = 0.00039203
Iteration 114: Best Cost = 0.00037836
Iteration 115: Best Cost = 0.00037836
Iteration 116: Best Cost = 0.00022605
Iteration 117: Best Cost = 0.00022605
Iteration 118: Best Cost = 0.00022605
Iteration 119: Best Cost = 0.00022605
Iteration 120: Best Cost = 0.00021244
Iteration 121: Best Cost = 0.00021244
Iteration 122: Best Cost = 0.00020437
Iteration 123: Best Cost = 0.00020313
Iteration 124: Best Cost = 0.00019072
Iteration 125: Best Cost = 0.00018596
Iteration 126: Best Cost = 0.00016793
Iteration 127: Best Cost = 0.00014105
Iteration 128: Best Cost = 0.00011481
Iteration 129: Best Cost = 0.00011481
Iteration 130: Best Cost = 0.00011481
Iteration 131: Best Cost = 0.00011343
Iteration 132: Best Cost = 9.1052e-05
Iteration 133: Best Cost = 8.3344e-05
Iteration 134: Best Cost = 8.3344e-05
Iteration 135: Best Cost = 8.3344e-05
